Parameter,Category,Base_Value,Low_Change_%,High_Change_%,Impact_%
Replication Fidelity,Fidelity,0.93,-14.42928205166808,3.924983654724043,14.42928205166808
Thymine Ea (kcal/mol),Thermodynamic,32.0,-10.880929971898242,5.889337929315177,10.880929971898242
T Fidelity Bonus,Fidelity,1.35,-8.533857878945264,0.45010853286361574,8.533857878945264
Clay Protection,Protection,9.5,-8.411960480444064,2.439115483090038,8.411960480444064
Uracil Ea (kcal/mol),Thermodynamic,27.0,6.35776509328602,-7.977243307247435,7.977243307247435
Initial T Pool,Initial Pools,170000.0,-2.367982930311889,-5.928530846168363,5.928530846168363
Lipid Protection,Protection,4.5,-4.906741589540925,-0.9401943318039254,4.906741589540925
Initial A Pool,Initial Pools,420000.0,1.7199172083495429,-4.627403928221739,4.627403928221739
Adenine Ea (kcal/mol),Thermodynamic,29.0,-3.9246665433991903,2.2365107358059957,3.9246665433991903
Thymine UV Resistance,UV,0.28,-2.904717085861911,1.1215392342232344,2.904717085861911
Initial C Pool,Initial Pools,650000.0,-2.801798014692115,-1.9835427861357664,2.801798014692115
Cytosine Deam. Ratio,Deamination,36.0,0.9211412284633312,-2.524267385186548,2.524267385186548
Initial U Pool,Initial Pools,830000.0,-1.8297224566432801,-2.4714078301964864,2.4714078301964864
Cytosine Deam. Ea,Thermodynamic,23.0,-0.8054025403887846,1.6697144457603026,1.6697144457603026
